Cpd,Mass,RT,Quality Score,m/z,Show/Hide,Label,Avg Mass,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
2457,739.5122,16.743,100,738.5049,TRUE,Cpd 2457: 16.743,739.945,,738.5049,Negative,-1,-1,16.586,16.835,3560,0.101,27003,0.01,3,1,,453,2,NZ_180709_s07.d,Find by Molecular Feature
2456,1618.2786,16.735,50.4,538.4193,TRUE,Cpd 2456: 16.735,1618.8977,0.0022,538.4193,Negative,-3,-4,16.561,16.869,658,0.118,8435,0,5,2,,453,2,NZ_180709_s07.d,Find by Molecular Feature
2455,2376.4921,16.719,69,395.0747,TRUE,Cpd 2455: 16.719,2377.3019,,395.0747,Negative,-6,-6,16.652,16.761,709,0.068,5037,0,3,1,,452,1,NZ_180709_s07.d,Find by Molecular Feature
2454,732.4331,16.703,87,365.2093,TRUE,Cpd 2454: 16.703,732.8578,,365.7241,Negative,-2,-2,16.627,16.794,479,0.098,3053,0,2,1,,451,1,NZ_180709_s07.d,Find by Molecular Feature
2453,983.7195,16.664,100,982.7123,TRUE,Cpd 2453: 16.664,984.4452,,982.7123,Negative,-1,-1,16.586,16.81,1808,0.12,24842,0.01,3,1,,450,3,NZ_180709_s07.d,Find by Molecular Feature
2452,837.4585,16.663,100,836.4513,TRUE,Cpd 2452: 16.663,838.011,,836.4513,Negative,-1,-1,16.586,16.81,2161,0.119,23513,0.01,3,1,,450,3,NZ_180709_s07.d,Find by Molecular Feature
2451,669.4574,16.661,100,668.4501,TRUE,Cpd 2451: 16.661,669.8993,,668.4501,Negative,-1,-1,16.552,16.802,8086,0.119,86654,0.02,3,1,,450,3,NZ_180709_s07.d,Find by Molecular Feature
2450,819.4473,16.654,87.4,818.44,TRUE,Cpd 2450: 16.654,819.818,,818.44,Negative,-1,-1,16.611,16.727,917,0.077,5269,0,2,1,,449,2,NZ_180709_s07.d,Find by Molecular Feature
2449,651.4465,16.647,80,650.4392,TRUE,Cpd 2449: 16.647,651.6976,,650.4392,Negative,-1,-1,16.586,16.761,1417,0.116,10172,0,2,1,,449,2,NZ_180709_s07.d,Find by Molecular Feature
2448,1392.2192,16.616,58.5,463.0658,TRUE,Cpd 2448: 16.616,1392.4961,,463.0658,Negative,-3,-3,16.577,16.652,837,0.059,3562,0,2,1,,448,1,NZ_180709_s07.d,Find by Molecular Feature
2447,466.3061,16.607,80,465.2989,TRUE,Cpd 2447: 16.607,466.4858,,465.2989,Negative,-1,-1,16.552,16.686,2466,0.063,8723,0,2,1,,447,1,NZ_180709_s07.d,Find by Molecular Feature
2446,1809.2979,16.587,58.2,451.3172,TRUE,Cpd 2446: 16.587,1809.7305,,451.3172,Negative,-4,-4,16.494,16.652,725,0.102,5784,0,2,1,,446,1,NZ_180709_s07.d,Find by Molecular Feature
2445,382.1826,16.546,51.2,381.1753,TRUE,Cpd 2445: 16.546,382.4812,,381.1753,Negative,-1,-1,16.419,16.652,1326,0.134,11310,0,2,1,,445,1,NZ_180709_s07.d,Find by Molecular Feature
2444,1579.9336,16.514,80,788.9595,TRUE,Cpd 2444: 16.514,1580.3057,,788.9595,Negative,-2,-2,16.444,16.594,815,0.08,4960,0,2,1,,444,2,NZ_180709_s07.d,Find by Molecular Feature
2443,1127.1853,16.508,63.9,562.5854,TRUE,Cpd 2443: 16.508,1127.7018,,562.5854,Negative,-2,-2,16.452,16.561,714,0.075,6625,0,2,1,,444,2,NZ_180709_s07.d,Find by Molecular Feature
2442,717.5284,16.496,83.1,716.5211,TRUE,Cpd 2442: 16.496,718.1104,,716.5211,Negative,-1,-1,16.444,16.611,2397,0.09,17266,0,3,1,,443,2,NZ_180709_s07.d,Find by Molecular Feature
2441,470.1707,16.495,92.1,469.1634,TRUE,Cpd 2441: 16.495,470.9596,,469.1634,Negative,-1,-1,16.402,16.552,1317,0.073,7496,0,3,1,,443,2,NZ_180709_s07.d,Find by Molecular Feature
2440,374.1651,16.464,100,373.1579,TRUE,Cpd 2440: 16.464,374.3824,,373.1579,Negative,-1,-1,16.427,16.519,2127,0.05,8439,0,2,1,,442,1,NZ_180709_s07.d,Find by Molecular Feature
2439,1482.2402,16.442,51.1,493.0728,TRUE,Cpd 2439: 16.442,1482.5216,0.0002,493.0728,Negative,-2,-3,16.353,16.544,1462,0.105,13820,0,3,2,,441,2,NZ_180709_s07.d,Find by Molecular Feature
2438,405.2738,16.439,80,404.2665,TRUE,Cpd 2438: 16.439,405.2738,0.0002,404.2665,Negative,-1,-1,16.386,16.502,2548,0.071,12208,0,2,1,,441,2,NZ_180709_s07.d,Find by Molecular Feature
2437,354.2534,16.435,100,353.2462,TRUE,Cpd 2437: 16.435,354.5598,,353.2462,Negative,-1,-1,16.386,16.519,19725,0.055,85432,0.02,3,1,,440,4,NZ_180709_s07.d,Find by Molecular Feature
2436,1140.2287,16.434,60,569.1071,TRUE,Cpd 2436: 16.434,1141.4889,,569.1071,Negative,-2,-2,16.353,16.552,721,0.131,12176,0,4,1,,440,4,NZ_180709_s07.d,Find by Molecular Feature
2435,1336.9327,16.433,54,1335.9271,TRUE,Cpd 2435: 16.433,1337.2642,0.0023,1335.9271,Negative,-1,-2,16.328,16.544,915,0.101,12185,0,4,2,,440,4,NZ_180709_s07.d,Find by Molecular Feature
2434,404.311,16.431,55.7,403.3037,TRUE,Cpd 2434: 16.431,404.6751,,403.3037,Negative,-1,-1,16.261,16.686,18094,0.205,301881,0.08,3,1,,440,4,NZ_180709_s07.d,Find by Molecular Feature
2433,1326.9583,16.428,100,662.4719,TRUE,Cpd 2433: 16.428,1327.7047,,662.4719,Negative,-2,-2,16.328,16.536,1723,0.1,20048,0.01,3,1,,439,3,NZ_180709_s07.d,Find by Molecular Feature
2432,1887.3071,16.426,54.3,628.0951,TRUE,Cpd 2432: 16.426,1887.5795,,628.0951,Negative,-3,-3,16.386,16.461,1257,0.053,4259,0,2,1,,439,3,NZ_180709_s07.d,Find by Molecular Feature
2431,717.5276,16.426,85.9,716.5204,TRUE,Cpd 2431: 16.426,718.0341,,716.5204,Negative,-1,-1,16.303,16.461,2238,0.096,15462,0,3,1,,439,3,NZ_180709_s07.d,Find by Molecular Feature
2430,1418.2004,16.414,55.3,708.0929,TRUE,Cpd 2430: 16.414,1418.6228,,708.0929,Negative,-2,-2,16.386,16.469,731,0.047,3599,0,2,1,,438,2,NZ_180709_s07.d,Find by Molecular Feature
2429,1536.7549,16.412,71.3,511.2444,TRUE,Cpd 2429: 16.412,1537.3399,,511.5778,Negative,-3,-3,16.311,16.452,700,0.077,3736,0,2,1,,438,2,NZ_180709_s07.d,Find by Molecular Feature
2428,705.5288,16.404,94.2,704.5216,TRUE,Cpd 2428: 16.404,705.9121,,704.5216,Negative,-1,-1,16.336,16.502,793,0.102,7129,0,2,1,,437,3,NZ_180709_s07.d,Find by Molecular Feature
2427,537.2966,16.4,87.1,536.2894,TRUE,Cpd 2427: 16.400,538.3318,,536.2894,Negative,-1,-1,16.328,16.477,2474,0.088,24823,0.01,3,1,,437,3,NZ_180709_s07.d,Find by Molecular Feature
2426,498.2566,16.4,64.6,497.2493,TRUE,Cpd 2426: 16.400,498.4113,,497.2493,Negative,-1,-1,16.278,16.486,2637,0.127,19215,0,2,1,,437,3,NZ_180709_s07.d,Find by Molecular Feature
2425,900.6103,16.394,56.4,899.603,TRUE,Cpd 2425: 16.394,901.0093,,899.603,Negative,-1,-1,16.344,16.469,622,0.093,4376,0,2,1,,436,2,NZ_180709_s07.d,Find by Molecular Feature
2424,568.3371,16.39,50.1,567.3298,TRUE,Cpd 2424: 16.390,568.628,,567.3298,Negative,-1,-1,16.336,16.461,1603,0.073,6998,0,2,1,,436,2,NZ_180709_s07.d,Find by Molecular Feature
2423,634.1206,16.374,55.8,633.1133,TRUE,Cpd 2423: 16.374,634.5346,,634.1129,Negative,-1,-1,16.319,16.427,597,0.079,5675,0,2,1,,435,1,NZ_180709_s07.d,Find by Molecular Feature
2422,611.5257,16.367,99.3,610.5184,TRUE,Cpd 2422: 16.367,612.1267,,610.5184,Negative,-1,-1,16.311,16.427,1462,0.062,8848,0,3,1,,434,7,NZ_180709_s07.d,Find by Molecular Feature
2421,648.5352,16.366,52,647.5279,TRUE,Cpd 2421: 16.366,649.0336,,647.5279,Negative,-1,-1,16.211,16.519,6923,0.151,93985,0.02,3,1,,434,7,NZ_180709_s07.d,Find by Molecular Feature
2420,597.3252,16.365,95.9,596.3179,TRUE,Cpd 2420: 16.365,597.8503,,596.3179,Negative,-1,-1,16.269,16.452,1830,0.103,20906,0.01,3,1,,434,7,NZ_180709_s07.d,Find by Molecular Feature
2419,417.9846,16.363,100,416.9773,TRUE,Cpd 2419: 16.363,418.0499,,416.9773,Negative,-1,-1,16.311,16.469,34111,0.059,121085,0.03,2,1,,434,7,NZ_180709_s07.d,Find by Molecular Feature
2418,616.5421,16.362,100,615.5348,TRUE,Cpd 2418: 16.362,616.837,,615.5348,Negative,-1,-1,16.319,16.427,4648,0.057,22280,0.01,2,1,,434,7,NZ_180709_s07.d,Find by Molecular Feature
2417,730.6281,16.36,98,729.6209,TRUE,Cpd 2417: 16.360,730.9337,,729.6209,Negative,-1,-1,16.319,16.402,966,0.051,3777,0,2,1,,434,7,NZ_180709_s07.d,Find by Molecular Feature
2416,661.981,16.359,100,660.9737,TRUE,Cpd 2416: 16.359,662.1859,,660.9737,Negative,-1,-1,16.303,16.419,26333,0.055,104520,0.03,3,1,,434,7,NZ_180709_s07.d,Find by Molecular Feature
2415,510.2906,16.357,61.6,509.2834,TRUE,Cpd 2415: 16.357,510.6584,,509.2834,Negative,-1,-1,16.311,16.469,1018,0.109,8034,0,2,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2414,633.9693,16.357,100,632.962,TRUE,Cpd 2414: 16.357,634.2227,,632.962,Negative,-1,-1,16.278,16.494,42757,0.066,195364,0.05,4,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2413,669.9667,16.356,100,668.9594,TRUE,Cpd 2413: 16.356,670.1312,,668.9594,Negative,-1,-1,16.311,16.452,8806,0.061,37440,0.01,2,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2412,615.9588,16.355,100,614.9515,TRUE,Cpd 2412: 16.355,616.0978,,614.9515,Negative,-1,-1,16.303,16.419,5025,0.054,18263,0,2,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2411,397.9786,16.355,100,396.9713,TRUE,Cpd 2411: 16.355,398.0565,,396.9713,Negative,-1,-1,16.253,16.452,11482,0.079,50291,0.01,2,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2410,452.27,16.354,100,451.2627,TRUE,Cpd 2410: 16.354,452.6029,,451.2627,Negative,-1,-1,16.269,16.486,34181,0.074,181871,0.05,4,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2409,495.9787,16.354,100,494.9715,TRUE,Cpd 2409: 16.354,496.0956,,494.9715,Negative,-1,-1,16.303,16.402,9532,0.051,34166,0.01,2,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2408,2703.9712,16.354,76,674.9855,TRUE,Cpd 2408: 16.354,2704.3404,,674.9855,Negative,-4,-4,16.294,16.402,1661,0.069,8574,0,2,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2407,617.9748,16.353,100,616.9675,TRUE,Cpd 2407: 16.353,618.0709,,616.9675,Negative,-1,-1,16.303,16.494,551442,0.052,2009934,0.5,2,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
2406,1871.2987,16.353,50.3,934.6421,TRUE,Cpd 2406: 16.353,1872.2363,,935.1404,Negative,-2,-2,16.303,16.511,581,0.103,4426,0,3,1,,433,16,NZ_180709_s07.d,Find by Molecular Feature
