Cpd,Mass,RT,Avg Mass,Vol,Quality Score,m/z,Show/Hide,Label,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
1467,6436.8358,9.723,6440.0684,97470984,100,714.1967,TRUE,Cpd 1467: 9.723,0.0045,714.4178,Negative,-3,-10,9.333,9.991,1426801,0.125,13.42,100,8,S,370,30,NZ_180830_s29.d,Find by Molecular Feature
1408,6436.826,9.561,6439.4749,2455598,85.2,642.6752,TRUE,Cpd 1408: 9.561,0.0038,642.8755,Negative,-3,-10,9.291,9.624,79202,0.108,0.34,15,3,,363,2,NZ_180830_s29.d,Find by Molecular Feature
1451,6435.845,9.718,6439.9769,3589406,95.1,584.0695,TRUE,Cpd 1451: 9.718,,584.3412,Negative,-11,-11,9.499,9.957,112426,0.115,0.49,17,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1447,6434.8031,9.718,6439.4896,1274485,80,535.2273,TRUE,Cpd 1447: 9.718,0.0215,535.5617,Negative,-12,-14,9.491,9.866,29495,0.106,0.18,35,3,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1446,6424.7972,9.718,6428.5441,190184,80,712.8591,TRUE,Cpd 1446: 9.718,,713.0849,Negative,-9,-9,9.474,9.907,4434,0.149,0.03,9,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1465,6418.8299,9.722,6422.3803,157211,84.9,712.1958,TRUE,Cpd 1465: 9.722,0.0062,712.5238,Negative,-8,-9,9.558,9.891,2335,0.116,0.02,20,2,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1450,6406.8174,9.718,6412.5372,84526,80,710.8613,TRUE,Cpd 1450: 9.718,,711.7519,Negative,-9,-9,9.574,9.841,2274,0.122,0.01,11,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1402,6353.8161,9.544,6357.0384,39626,80,704.9723,TRUE,Cpd 1402: 9.544,,705.1985,Negative,-9,-9,9.474,9.649,1795,0.089,0.01,8,1,,361,5,NZ_180830_s29.d,Find by Molecular Feature
1458,6323.7923,9.72,6328.42,96691,80,789.4668,TRUE,Cpd 1458: 9.720,,789.9647,Negative,-8,-8,9.558,9.816,4928,0.07,0.01,11,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1440,6322.7165,9.717,6328.4331,205126,80,701.5168,TRUE,Cpd 1440: 9.717,,702.0803,Negative,-9,-9,9.558,9.882,8592,0.093,0.03,13,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1401,6319.7915,9.489,6322.0385,67449,80,701.1926,TRUE,Cpd 1401: 9.489,0.0313,701.413,Negative,-9,-10,9.333,9.641,2056,0.104,0.01,11,2,,360,1,NZ_180830_s29.d,Find by Molecular Feature
1413,6306.7855,9.595,6308.2025,86567,80,699.7467,TRUE,Cpd 1413: 9.595,,699.7467,Negative,-9,-9,9.483,9.666,4540,0.104,0.01,5,1,,366,4,NZ_180830_s29.d,Find by Molecular Feature
1441,6301.776,9.717,6304.9629,630266,80,699.1907,TRUE,Cpd 1441: 9.717,0.0151,699.5232,Negative,-7,-9,9.508,9.849,16576,0.096,0.09,27,3,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1423,6301.0329,9.713,6304.6835,113695,86.9,629.096,TRUE,Cpd 1423: 9.713,,629.37,Negative,-10,-10,9.558,9.849,3909,0.117,0.02,9,1,,369,20,NZ_180830_s29.d,Find by Molecular Feature
1457,6285.7706,9.72,6289.031,259173,92.5,784.714,TRUE,Cpd 1457: 9.720,0.0136,785.0906,Negative,-8,-11,9.549,9.857,5017,0.097,0.04,34,4,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1553,6264.8358,11.623,6266.6106,14641,86.8,2087.2713,TRUE,Cpd 1553: 11.623,,2087.9423,Negative,-3,-3,11.556,11.689,773,0.068,0,5,1,,400,7,NZ_180830_s29.d,Find by Molecular Feature
1558,6241.8488,11.628,6244.3955,28387,80,2079.609,TRUE,Cpd 1558: 11.628,,2080.2766,Negative,-3,-3,11.564,11.698,1317,0.078,0,6,1,,400,7,NZ_180830_s29.d,Find by Molecular Feature
1557,6219.8666,11.628,6222.4079,63935,80,2072.2822,TRUE,Cpd 1557: 11.628,0.0055,2072.9507,Negative,-3,-4,11.548,11.722,2171,0.081,0.01,12,2,,400,7,NZ_180830_s29.d,Find by Molecular Feature
1555,6218.9156,11.626,6222.6998,83341,80,776.3572,TRUE,Cpd 1555: 11.626,,776.6006,Negative,-8,-8,11.514,11.781,3323,0.087,0.01,10,1,,400,7,NZ_180830_s29.d,Find by Molecular Feature
1554,6216.9078,11.625,6219.7364,63700,80,689.761,TRUE,Cpd 1554: 11.625,0.0183,690.423,Negative,-8,-9,11.489,11.831,3276,0.114,0.01,8,2,,400,7,NZ_180830_s29.d,Find by Molecular Feature
1482,6215.6962,9.809,6217.5197,10906,80,2070.8915,TRUE,Cpd 1482: 9.809,,2071.5643,Negative,-3,-3,9.757,9.874,894,0.07,0,4,1,,376,3,NZ_180830_s29.d,Find by Molecular Feature
1556,6197.8868,11.627,6200.9665,1710951,100,687.6464,TRUE,Cpd 1556: 11.627,0.0068,687.8693,Negative,-3,-11,11.456,11.831,21209,0.103,0.24,76,9,,400,7,NZ_180830_s29.d,Find by Molecular Feature
1481,6193.7294,9.797,6195.7781,93118,89.4,883.8125,TRUE,Cpd 1481: 9.797,0.0217,884.0977,Negative,-3,-7,9.724,9.916,2185,0.081,0.01,20,4,,375,1,NZ_180830_s29.d,Find by Molecular Feature
1479,6192.7784,9.784,6196.7635,231949,80,687.0783,TRUE,Cpd 1479: 9.784,0.0301,687.4073,Negative,-9,-10,9.591,9.916,5687,0.116,0.03,20,2,,374,4,NZ_180830_s29.d,Find by Molecular Feature
1477,6188.738,9.779,6195.8141,178565,80,772.585,TRUE,Cpd 1477: 9.779,,773.4602,Negative,-8,-8,9.599,9.916,5519,0.113,0.02,13,1,,374,4,NZ_180830_s29.d,Find by Molecular Feature
1483,6172.7597,9.809,6174.6645,62947,100,1542.1827,TRUE,Cpd 1483: 9.809,,1542.4306,Negative,-4,-4,9.724,9.907,2715,0.092,0.01,6,1,,376,3,NZ_180830_s29.d,Find by Molecular Feature
1480,6171.7487,9.785,6174.6763,3416796,100,770.4611,TRUE,Cpd 1480: 9.785,0.005,770.7109,Negative,-3,-12,9.566,9.949,46751,0.101,0.47,70,9,,374,4,NZ_180830_s29.d,Find by Molecular Feature
1418,6154.7301,9.639,6156.1427,65355,89.2,768.3348,TRUE,Cpd 1418: 9.639,0.0222,768.4605,Negative,-4,-8,9.558,9.774,3154,0.099,0.01,15,5,,367,2,NZ_180830_s29.d,Find by Molecular Feature
1417,6153.733,9.639,6156.7513,328722,87.7,682.7409,TRUE,Cpd 1417: 9.639,0.0139,682.9633,Negative,-9,-11,9.424,9.841,7223,0.116,0.05,23,3,,367,2,NZ_180830_s29.d,Find by Molecular Feature
1396,6113.7718,9.41,6116.1082,131402,80,763.2147,TRUE,Cpd 1396: 9.410,0.0128,763.4628,Negative,-3,-8,9.308,9.541,3199,0.096,0.02,20,4,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1391,6091.7821,9.405,6094.6525,1593572,100,760.4652,TRUE,Cpd 1391: 9.405,0.0063,760.7149,Negative,-3,-9,9.258,9.608,24395,0.11,0.22,57,7,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1560,5896.8098,11.729,5899.5474,21620,80,1964.596,TRUE,Cpd 1560: 11.729,,1965.599,Negative,-3,-3,11.664,11.781,1431,0.056,0,7,1,,401,1,NZ_180830_s29.d,Find by Molecular Feature
1411,5892.6466,9.588,5894.3809,14011,80,1963.2083,TRUE,Cpd 1411: 9.588,,1963.8769,Negative,-3,-3,9.483,9.641,1055,0.072,0,4,1,,365,2,NZ_180830_s29.d,Find by Molecular Feature
1561,5874.82,11.748,5877.0341,122592,80,586.475,TRUE,Cpd 1561: 11.748,0.0096,586.6747,Negative,-3,-10,11.664,11.881,2948,0.085,0.02,18,3,,402,3,NZ_180830_s29.d,Find by Molecular Feature
1412,5870.6672,9.592,5873.108,39095,98.2,1955.8818,TRUE,Cpd 1412: 9.592,,1956.5511,Negative,-3,-3,9.424,9.658,1994,0.093,0.01,6,1,,365,2,NZ_180830_s29.d,Find by Molecular Feature
1562,5853.836,11.75,5855.9558,81393,83.7,835.255,TRUE,Cpd 1562: 11.750,,835.3995,Negative,-7,-7,11.664,11.872,3992,0.094,0.01,7,1,,402,3,NZ_180830_s29.d,Find by Molecular Feature
1563,5852.8355,11.75,5855.7444,1889983,100,649.3079,TRUE,Cpd 1563: 11.750,0.0083,649.5309,Negative,-3,-11,11.639,11.931,29925,0.1,0.26,63,8,,402,3,NZ_180830_s29.d,Find by Molecular Feature
1376,5852.6857,9.314,5854.4166,22050,92.9,1949.888,TRUE,Cpd 1376: 9.314,,1950.5576,Negative,-3,-3,9.25,9.391,1545,0.072,0,4,1,,353,5,NZ_180830_s29.d,Find by Molecular Feature
1416,5849.6818,9.6,5851.6324,174480,100,730.203,TRUE,Cpd 1416: 9.600,,730.328,Negative,-8,-8,9.474,9.724,8243,0.1,0.02,6,1,,366,4,NZ_180830_s29.d,Find by Molecular Feature
1414,5848.6868,9.597,5849.8901,230554,100,730.079,TRUE,Cpd 1414: 9.597,0.0105,730.079,Negative,-3,-8,9.399,9.766,4120,0.108,0.03,30,6,,366,4,NZ_180830_s29.d,Find by Molecular Feature
1377,5830.7129,9.315,5833.2911,56890,100,1942.5637,TRUE,Cpd 1377: 9.315,,1943.2296,Negative,-3,-3,9.241,9.399,2581,0.085,0.01,7,1,,353,5,NZ_180830_s29.d,Find by Molecular Feature
1415,5826.7028,9.599,5829.5037,4185291,100,727.3309,TRUE,Cpd 1415: 9.599,0.0056,727.5804,Negative,-3,-12,9.416,9.791,70969,0.105,0.58,74,9,,366,4,NZ_180830_s29.d,Find by Molecular Feature
1462,5822.8505,9.721,5824.7048,80076,84.1,645.9761,TRUE,Cpd 1462: 9.721,,646.0743,Negative,-9,-9,9.608,9.874,3984,0.105,0.01,5,1,,370,30,NZ_180830_s29.d,Find by Molecular Feature
1374,5808.7285,9.31,5811.0014,219375,100,1935.2328,TRUE,Cpd 1374: 9.310,0.0112,1935.9024,Negative,-3,-9,9.141,9.483,4179,0.092,0.03,26,5,,353,5,NZ_180830_s29.d,Find by Molecular Feature
1399,5808.6932,9.442,5810.5929,215594,86.1,644.4029,TRUE,Cpd 1399: 9.442,0.0052,644.6248,Negative,-6,-10,9.266,9.591,8046,0.101,0.03,16,3,,358,2,NZ_180830_s29.d,Find by Molecular Feature
1398,5807.7218,9.437,5811.0715,102557,80,724.958,TRUE,Cpd 1398: 9.437,,725.3282,Negative,-8,-8,9.366,9.558,5127,0.094,0.01,7,1,,358,2,NZ_180830_s29.d,Find by Molecular Feature
1373,5807.718,9.309,5810.6841,130368,80,724.9575,TRUE,Cpd 1373: 9.309,,725.3329,Negative,-8,-8,9.166,9.383,6554,0.091,0.02,6,1,,353,5,NZ_180830_s29.d,Find by Molecular Feature
1348,5787.7345,9.147,5788.6448,25844,80,963.6128,TRUE,Cpd 1348: 9.147,0.0199,963.7833,Negative,-3,-6,9.041,9.233,1004,0.095,0,8,3,,347,1,NZ_180830_s29.d,Find by Molecular Feature
1375,5786.7394,9.311,5789.4574,2988473,100,722.3351,TRUE,Cpd 1375: 9.311,0.0049,722.5853,Negative,-3,-10,9.091,9.499,65702,0.111,0.41,62,8,,353,5,NZ_180830_s29.d,Find by Molecular Feature
1397,5614.564,9.41,5615.926,11183,99.6,1870.5141,TRUE,Cpd 1397: 9.410,,1870.5141,Negative,-3,-3,9.358,9.458,782,0.066,0,4,1,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1392,5591.5683,9.405,5593.9574,24858,80,1862.8488,TRUE,Cpd 1392: 9.405,,1863.5201,Negative,-3,-3,9.25,9.483,1204,0.091,0,6,1,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1547,5589.7509,11.277,5592.0316,27095,97.8,1862.243,TRUE,Cpd 1547: 11.277,,1862.907,Negative,-3,-3,11.206,11.348,1397,0.076,0,6,1,,397,5,NZ_180830_s29.d,Find by Molecular Feature
1388,5569.5977,9.404,5572.168,45202,84.9,1855.5253,TRUE,Cpd 1388: 9.404,,1856.1909,Negative,-3,-3,9.283,9.516,1872,0.103,0.01,7,1,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1545,5567.7546,11.274,5570.3298,49362,80,1854.9109,TRUE,Cpd 1545: 11.274,,1855.5794,Negative,-3,-3,11.206,11.373,2136,0.086,0.01,7,1,,397,5,NZ_180830_s29.d,Find by Molecular Feature
1394,5547.6134,9.408,5550.1382,88185,100,1848.1972,TRUE,Cpd 1394: 9.408,,1848.8624,Negative,-3,-3,9.166,9.516,2789,0.123,0.01,7,1,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1544,5545.7789,11.274,5548.304,129960,100,1847.5844,TRUE,Cpd 1544: 11.274,0.0134,1848.252,Negative,-3,-10,11.19,11.414,3494,0.087,0.02,24,4,,397,5,NZ_180830_s29.d,Find by Molecular Feature
1543,5544.7659,11.272,5547.8986,120714,80,615.0797,TRUE,Cpd 1543: 11.272,0.0555,615.4124,Negative,-8,-9,11.148,11.423,3470,0.096,0.02,14,2,,397,5,NZ_180830_s29.d,Find by Molecular Feature
1393,5525.6297,9.407,5528.2502,154536,98.5,1840.8693,TRUE,Cpd 1393: 9.407,,1841.536,Negative,-3,-3,9.125,9.533,5557,0.122,0.02,8,1,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1546,5523.7916,11.276,5525.8807,1055262,100,612.7477,TRUE,Cpd 1546: 11.276,0.0056,612.9686,Negative,-3,-10,11.148,11.448,28705,0.094,0.15,57,8,,397,5,NZ_180830_s29.d,Find by Molecular Feature
1400,5522.6819,9.479,5524.0126,40110,80,689.328,TRUE,Cpd 1400: 9.479,,689.5765,Negative,-8,-8,9.424,9.658,2104,0.123,0.01,4,1,,359,1,NZ_180830_s29.d,Find by Molecular Feature
1389,5503.6433,9.404,5506.369,794721,100,686.9487,TRUE,Cpd 1389: 9.404,0.0057,687.1976,Negative,-3,-9,9.191,9.591,10658,0.107,0.11,40,5,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1395,5501.6694,9.408,5502.5865,115657,80,784.9464,TRUE,Cpd 1395: 9.408,0.0069,785.5135,Negative,-7,-8,9.141,9.541,3701,0.113,0.02,11,2,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1386,5482.6569,9.404,5484.5992,2172322,100,684.3248,TRUE,Cpd 1386: 9.404,,684.4499,Negative,-8,-8,9.275,9.599,92781,0.11,0.3,11,1,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1387,5481.6545,9.404,5483.2629,4353588,100,608.0656,TRUE,Cpd 1387: 9.404,0.0042,608.2879,Negative,-3,-9,9.116,9.599,98480,0.111,0.6,57,7,,357,12,NZ_180830_s29.d,Find by Molecular Feature
1385,5480.641,9.398,5484.1782,148916,80,547.0568,TRUE,Cpd 1385: 9.398,,547.3583,Negative,-10,-10,9.15,9.533,6383,0.128,0.02,9,1,,356,1,NZ_180830_s29.d,Find by Molecular Feature
